Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,100000,100000,
1,100000,53290,12000,0,0,41290,141290,141290,12000
2,141290,53290,12000,0,0,41290,182580,182580,24000
3,182580,53290,12000,0,0,41290,223870,223870,36000
4,223870,53290,12000,0,0,41290,265159,265159,48000
5,265159,53290,12000,0,0,41290,306449,306449,60000
6,306449,53290,12000,0,0,41290,347739,347739,72000
7,347739,53290,12000,0,0,41290,389029,389029,84000
8,389029,53290,12000,0,0,41290,430319,430319,96000
9,430319,53290,12000,0,0,41290,471609,471609,108000
10,471609,53290,12000,0,0,41290,512898,512898,120000
11,512898,12000,12000,0,0,0,512898,512898,132000
12,512898,12000,12000,0,0,0,512898,512898,144000
