Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,800000,640000,160000,160000,32000
1,0,18000,7859,38186,6000,-697,-34045,-34742,6.00,840000,632141,207859,173117,76186
2,-34742,18000,8344,37701,6000,-2260,-34045,-71048,6.00,882000,623797,258203,187156,119888
3,-71048,18000,8859,37187,6000,-3894,-34045,-108987,6.00,926100,614938,311162,202175,163074
4,-108987,18000,9405,36640,6000,-5601,-34045,-148633,6.00,972405,605533,366872,218239,205715
5,-148633,18000,9985,36060,6000,-7385,-34045,-190064,6.00,1021025,595548,425477,235413,247775
6,-190064,18000,10601,35444,6000,-9249,-34045,-233359,6.00,1072077,584947,487130,253771,289220
7,-233359,18000,11255,34791,6000,-11198,-34045,-278602,6.00,1125680,573692,551988,273386,330010
8,-278602,18000,11949,34096,6000,-13234,-34045,-325881,6.00,1181964,561743,620221,294340,370107
9,-325881,18000,12686,33359,6000,-15361,-34045,-375288,6.00,1241063,549057,692005,316717,409466
10,-375288,18000,13468,32577,6000,-17585,-34045,-426918,6.00,1303116,535589,767527,340609,448043
11,-426918,18000,14299,31746,6000,-19908,-34045,-480871,6.00,1368271,521290,846982,366111,485790
12,-480871,18000,15181,30864,6000,-22336,-34045,-537253,6.00,1436685,506108,930577,393324,522654
13,-537253,18000,16117,29928,6000,-24873,-34045,-596171,6.00,1508519,489991,1018528,422357,558582
14,-596171,18000,17112,28934,6000,-27524,-34045,-657741,6.00,1583945,472880,1111066,453325,593516
15,-657741,18000,18167,27879,6000,-30295,-34045,-722081,6.00,1663143,454713,1208430,486348,627395
16,-722081,18000,19287,26758,6000,-33190,-34045,-789317,6.00,1746300,435425,1310874,521557,660153
17,-789317,18000,20477,25568,6000,-36216,-34045,-859579,6.00,1833615,414948,1418666,559088,691721
18,-859579,18000,21740,24306,6000,-39378,-34045,-933002,6.00,1925295,393208,1532087,599085,722027
19,-933002,18000,23081,22965,6000,-42682,-34045,-1009729,6.00,2021560,370127,1651433,641704,750992
20,-1009729,18000,24504,21541,6000,-46134,-34045,-1089909,6.00,2122638,345623,1777015,687106,778533
