Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,500000,400000,100000,100000,0
1,0,53290,30109,23181,0,0,0,0,6.00,500000,369891,130109,130109,23181
2,0,53290,31966,21324,0,0,0,0,6.00,500000,337925,162075,162075,44505
3,0,53290,33938,19352,0,0,0,0,6.00,500000,303988,196012,196012,63857
4,0,53290,36031,17259,0,0,0,0,6.00,500000,267957,232043,232043,81116
5,0,53290,38253,15037,0,0,0,0,6.00,500000,229704,270296,270296,96153
6,0,53290,40612,12677,0,0,0,0,6.00,500000,189092,310908,310908,108831
7,0,53290,43117,10173,0,0,0,0,6.00,500000,145974,354026,354026,119003
8,0,53290,45777,7513,0,0,0,0,6.00,500000,100198,399802,399802,126516
9,0,53290,48600,4690,0,0,0,0,6.00,500000,51598,448402,448402,131206
10,0,53290,51598,1692,0,0,0,0,6.00,500000,0,500000,500000,132898
11,0,12000,0,0,0,0,12000,12000,,500000,0,500000,512000,132898
12,12000,12000,0,0,0,0,12000,24000,,500000,0,500000,524000,132898
