Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,500000,400000,100000,100000,0
1,0,40000,40000,0,0,0,0,0,0.00,500000,360000,140000,140000,0
2,0,40000,40000,0,0,0,0,0,0.00,500000,320000,180000,180000,0
3,0,40000,40000,0,0,0,0,0,0.00,500000,280000,220000,220000,0
4,0,40000,40000,0,0,0,0,0,0.00,500000,240000,260000,260000,0
5,0,40000,40000,0,0,0,0,0,0.00,500000,200000,300000,300000,0
6,0,40000,40000,0,0,0,0,0,0.00,500000,160000,340000,340000,0
7,0,40000,40000,0,0,0,0,0,0.00,500000,120000,380000,380000,0
8,0,40000,40000,0,0,0,0,0,0.00,500000,80000,420000,420000,0
9,0,40000,40000,0,0,0,0,0,0.00,500000,40000,460000,460000,0
10,0,40000,40000,0,0,0,0,0,0.00,500000,0,500000,500000,0
