Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,100000,100000,
1,100000,40000,12000,0,0,28000,128000,128000,12000
2,128000,40000,12000,0,0,28000,156000,156000,24000
3,156000,40000,12000,0,0,28000,184000,184000,36000
4,184000,40000,12000,0,0,28000,212000,212000,48000
5,212000,40000,12000,0,0,28000,240000,240000,60000
6,240000,40000,12000,0,0,28000,268000,268000,72000
7,268000,40000,12000,0,0,28000,296000,296000,84000
8,296000,40000,12000,0,0,28000,324000,324000,96000
9,324000,40000,12000,0,0,28000,352000,352000,108000
10,352000,40000,12000,0,0,28000,380000,380000,120000
