Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,192000,192000,
1,192000,18000,33600,1200,8296,-16800,183496,183496,34800
2,183496,18000,34608,1200,7893,-17808,173581,173581,70608
3,173581,18000,35646,1200,7426,-18846,162161,162161,107454
4,162161,18000,36716,1200,6890,-19916,149135,149135,145370
5,149135,18000,37817,1200,6281,-21017,134399,134399,184387
6,134399,18000,38952,1200,5595,-22152,117842,117842,224539
7,117842,18000,40120,1200,4826,-23320,99347,99347,265859
8,99347,18000,41324,1200,3969,-24524,78792,78792,308382
9,78792,18000,42563,1200,3019,-25763,56047,56047,352146
10,56047,18000,43840,1200,1969,-27040,30976,30976,397186
11,30976,18000,45156,1200,814,-28356,3434,3434,443542
12,3434,18000,46510,1200,-453,-29710,-26730,-26730,491252
13,-26730,18000,47906,1200,-1839,-31106,-59675,-59675,540358
14,-59675,18000,49343,1200,-3351,-32543,-95569,-95569,590900
15,-95569,18000,50823,1200,-4997,-34023,-134588,-134588,642924
16,-134588,18000,52348,1200,-6784,-35548,-176920,-176920,696471
17,-176920,18000,53918,1200,-8721,-37118,-222759,-222759,751589
18,-222759,18000,55536,1200,-10817,-38736,-272311,-272311,808325
19,-272311,18000,57202,1200,-13081,-40402,-325794,-325794,866727
20,-325794,18000,58918,1200,-15522,-42118,-383434,-383434,926845
