Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,192000,192000,
1,192000,52045,33600,1200,8993,17245,218238,218238,34800
2,218238,52045,34608,1200,10153,16237,244629,244629,70608
3,244629,52045,35646,1200,11319,15199,271147,271147,107454
4,271147,52045,36716,1200,12491,14130,297768,297768,145370
5,297768,52045,37817,1200,13666,13028,324462,324462,184387
6,324462,64767,38952,1200,15104,24615,364182,364182,224539
7,364182,64767,40120,1200,16868,23447,404497,404497,265859
8,404497,64767,41324,1200,18657,22243,445398,445398,308382
9,445398,64767,42563,1200,20473,21004,486874,486874,352146
10,486874,64767,43840,1200,22313,19727,528914,528914,397186
11,528914,64767,45156,1200,24178,18411,571503,571503,443542
12,571503,64767,46510,1200,26067,17057,614626,614626,491252
13,614626,64767,47906,1200,27979,15661,658266,658266,540358
14,658266,64767,49343,1200,29913,14224,702403,702403,590900
15,702403,64767,50823,1200,31869,12744,747016,747016,642924
16,747016,64767,52348,1200,33845,11219,792081,792081,696471
17,792081,64767,53918,1200,35841,9649,837571,837571,751589
18,837571,64767,55536,1200,37855,8031,883457,883457,808325
19,883457,64767,57202,1200,39886,6365,929708,929708,866727
20,929708,64767,58918,1200,41932,4649,976290,976290,926845
21,976290,64767,60685,1200,43992,2882,1023163,1023163,988730
22,1023163,64767,62506,1200,46064,1061,1070288,1070288,1052436
23,1070288,65581,64381,1200,48163,0,1118451,1118451,1118017
24,1118451,67513,66313,1200,50330,0,1168782,1168782,1185529
25,1168782,69502,68302,1200,52595,0,1221377,1221377,1255031
26,1221377,71551,70351,1200,54962,0,1276339,1276339,1326582
27,1276339,73661,72461,1200,57435,0,1333774,1333774,1400244
28,1333774,75835,74635,1200,60020,0,1393794,1393794,1476079
29,1393794,78074,76874,1200,62721,0,1456515,1456515,1554153
30,1456515,80381,79181,1200,65543,0,1522058,1522058,1634534
