Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,800000,640000,160000,160000,32000
1,0,52045,7859,38186,6000,0,0,0,6.00,840000,632141,207859,207859,76186
2,0,52045,8344,37701,6000,0,0,0,6.00,882000,623797,258203,258203,119888
3,0,52045,8859,37187,6000,0,0,0,6.00,926100,614938,311162,311162,163074
4,0,52045,9405,36640,6000,0,0,0,6.00,972405,605533,366872,366872,205715
5,0,52045,9985,36060,6000,0,0,0,6.00,1021025,595548,425477,425477,247775
6,0,52045,10601,35444,6000,0,0,0,6.00,1072077,584947,487130,487130,289220
7,0,52045,11255,34791,6000,0,0,0,6.00,1125680,573692,551988,551988,330010
8,0,52045,11949,34096,6000,0,0,0,6.00,1181964,561743,620221,620221,370107
9,0,52045,12686,33359,6000,0,0,0,6.00,1241063,549057,692005,692005,409466
10,0,52045,13468,32577,6000,0,0,0,6.00,1303116,535589,767527,767527,448043
11,0,52045,14299,31746,6000,0,0,0,6.00,1368271,521290,846982,846982,485790
12,0,52045,15181,30864,6000,0,0,0,6.00,1436685,506108,930577,930577,522654
13,0,52045,16117,29928,6000,0,0,0,6.00,1508519,489991,1018528,1018528,558582
14,0,52045,17112,28934,6000,0,0,0,6.00,1583945,472880,1111066,1111066,593516
15,0,52045,18167,27879,6000,0,0,0,6.00,1663143,454713,1208430,1208430,627395
16,0,53548,19287,26758,6000,31,1502,1533,6.00,1746300,435425,1310874,1312407,660153
17,1533,55118,20477,25568,6000,132,3073,4737,6.00,1833615,414948,1418666,1423404,691721
18,4737,56736,21740,24306,6000,309,4690,9737,6.00,1925295,393208,1532087,1541824,722027
19,9737,58402,23081,22965,6000,568,6356,16661,6.00,2021560,370127,1651433,1668094,750992
20,16661,60118,24504,21541,6000,915,8072,25649,6.00,2122638,345623,1777015,1802664,778533
21,25649,61885,26016,20030,6000,1356,9840,36844,6.00,2228770,319607,1909163,1946007,804562
22,36844,63706,27620,18425,6000,1897,11660,50401,6.00,2340209,291987,2048222,2098623,828987
23,50401,65581,29324,16722,6000,2545,13536,66482,6.00,2457219,262663,2194556,2261038,851709
24,66482,67513,31133,14913,6000,3308,15467,85257,6.00,2580080,231530,2348550,2433806,872622
25,85257,69502,33053,12993,6000,4194,17456,106907,6.00,2709084,198477,2510607,2617513,891614
26,106907,71551,35091,10954,6000,5210,19505,131622,6.00,2844538,163386,2681152,2812774,908568
27,131622,73661,37256,8790,6000,6365,21616,159603,6.00,2986765,126130,2860635,3020238,923358
28,159603,75835,39554,6492,6000,7669,23790,191062,6.00,3136103,86577,3049527,3240589,935850
29,191062,78074,41993,4052,6000,9130,26029,226221,6.00,3292908,44583,3248325,3474547,945902
30,226221,80381,44583,1462,6000,10760,28335,265316,6.00,3457554,0,3457554,3722870,953364
