Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,192000,192000,
1,192000,52045,33600,1200,8993,17245,218238,218238,34800
2,218238,52045,34608,1200,10153,16237,244629,244629,70608
3,244629,52045,35646,1200,11319,15199,271147,271147,107454
4,271147,52045,36716,1200,12491,14130,297768,297768,145370
5,297768,52045,37817,1200,13666,13028,324462,324462,184387
6,324462,52045,38952,1200,14844,11894,351200,351200,224539
7,351200,52045,40120,1200,16023,10725,377949,377949,265859
8,377949,52045,41324,1200,17203,9522,404674,404674,308382
9,404674,52045,42563,1200,18380,8282,431335,431335,352146
10,431335,52045,43840,1200,19553,7005,457894,457894,397186
11,457894,52045,45156,1200,20722,5690,484305,484305,443542
12,484305,52045,46510,1200,21882,4335,510523,510523,491252
13,510523,52045,47906,1200,23034,2940,536497,536497,540358
14,536497,52045,49343,1200,24173,1503,562172,562172,590900
15,562172,52045,50823,1200,25298,22,587493,587493,642924
16,587493,53548,52348,1200,26437,0,613930,613930,696471
17,613930,55118,53918,1200,27627,0,641557,641557,751589
18,641557,56736,55536,1200,28870,0,670427,670427,808325
19,670427,58402,57202,1200,30169,0,700597,700597,866727
20,700597,60118,58918,1200,31527,0,732123,732123,926845
21,732123,61885,60685,1200,32946,0,765069,765069,988730
22,765069,63706,62506,1200,34428,0,799497,799497,1052436
23,799497,65581,64381,1200,35977,0,835474,835474,1118017
24,835474,67513,66313,1200,37596,0,873071,873071,1185529
25,873071,69502,68302,1200,39288,0,912359,912359,1255031
26,912359,71551,70351,1200,41056,0,953415,953415,1326582
27,953415,73661,72461,1200,42904,0,996319,996319,1400244
28,996319,75835,74635,1200,44834,0,1041153,1041153,1476079
29,1041153,78074,76874,1200,46852,0,1088005,1088005,1554153
30,1088005,80381,79181,1200,48960,0,1136965,1136965,1634534
