Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,520000,520000,
1,520000,25000,24000,1000,23400,0,543400,543400,25000
2,543400,25720,24720,1000,24453,0,567853,567853,50720
3,567853,26462,25462,1000,25553,0,593406,593406,77182
4,593406,27225,26225,1000,26703,0,620110,620110,104407
5,620110,28012,27012,1000,27905,0,648015,648015,132419
6,648015,28823,27823,1000,29161,0,677175,677175,161242
7,677175,29657,28657,1000,30473,0,707648,707648,190899
8,707648,30517,29517,1000,31844,0,739492,739492,221416
9,739492,31402,30402,1000,33277,0,772769,772769,252819
10,772769,32315,31315,1000,34775,0,807544,807544,285133
11,807544,33254,32254,1000,36339,0,843884,843884,318387
12,843884,34222,33222,1000,37975,0,881858,881858,352609
13,881858,35218,34218,1000,39684,0,921542,921542,387827
14,921542,36245,35245,1000,41469,0,963011,963011,424072
15,963011,37302,36302,1000,43336,0,1006347,1006347,461374
