Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,800000,640000,160000,160000,32000
1,0,44400,0,38400,6000,0,0,0,6.00,840000,640000,200000,200000,76400
2,0,44400,0,38400,6000,0,0,0,6.00,882000,640000,242000,242000,120800
3,0,44400,0,38400,6000,0,0,0,6.00,926100,640000,286100,286100,165200
4,0,44400,0,38400,6000,0,0,0,6.00,972405,640000,332405,332405,209600
5,0,44400,0,38400,6000,0,0,0,6.00,1021025,640000,381025,381025,254000
6,0,44400,0,38400,6000,0,0,0,6.00,1072077,640000,432077,432077,298400
7,0,44400,0,38400,6000,0,0,0,6.00,1125680,640000,485680,485680,342800
8,0,44400,0,38400,6000,0,0,0,6.00,1181964,640000,541964,541964,387200
9,0,44400,0,38400,6000,0,0,0,6.00,1241063,640000,601063,601063,431600
10,0,45040,0,38400,6000,13,640,653,6.00,1303116,640000,663116,663769,476000
11,653,46356,0,38400,6000,69,1956,2678,6.00,1368271,640000,728271,730950,520400
12,2678,47710,0,38400,6000,188,3310,6177,6.00,1436685,640000,796685,802862,564800
13,6177,49106,0,38400,6000,374,4706,11257,6.00,1508519,640000,868519,879776,609200
14,11257,50543,0,38400,6000,632,6143,18032,6.00,1583945,640000,943945,961977,653600
15,18032,52023,0,38400,6000,967,7623,26622,6.00,1663143,640000,1023143,1049765,698000
16,26622,53548,0,38400,6000,1385,9148,37155,6.00,1746300,640000,1106300,1143455,742400
17,37155,55118,0,38400,6000,1891,10718,49765,6.00,1833615,640000,1193615,1243379,786800
18,49765,56736,0,38400,6000,2492,12336,64592,6.00,1925295,640000,1285295,1349887,831200
19,64592,58402,0,38400,6000,3193,14002,81787,6.00,2021560,640000,1381560,1463347,875600
20,81787,60118,0,38400,6000,4002,15718,101507,6.00,2122638,640000,1482638,1584145,920000
21,101507,61885,0,38400,6000,4926,17485,123918,6.00,2228770,640000,1588770,1712688,964400
22,123918,63706,0,38400,6000,5971,19306,149195,6.00,2340209,640000,1700209,1849403,1008800
23,149195,65581,0,38400,6000,7147,21181,177523,6.00,2457219,640000,1817219,1994742,1053200
24,177523,67513,0,38400,6000,8461,23113,209097,6.00,2580080,640000,1940080,2149177,1097600
25,209097,69502,0,38400,6000,9923,25102,244122,6.00,2709084,640000,2069084,2313206,1142000
26,244122,71551,0,38400,6000,11541,27151,282814,6.00,2844538,640000,2204538,2487352,1186400
27,282814,73661,0,38400,6000,13325,29261,325401,6.00,2986765,640000,2346765,2672166,1230800
28,325401,75835,0,38400,6000,15286,31435,372122,6.00,3136103,640000,2496103,2868225,1275200
29,372122,78074,0,38400,6000,17435,33674,423231,6.00,3292908,640000,2652908,3076140,1319600
30,423231,80381,0,38400,6000,19782,35981,478993,6.00,3457554,640000,2817554,3296547,1364000
