Year,Beg_Cash,Ann_Budget,Rent_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Net_Equity,Accum_Cost
0,,,,,,,192000,192000,
1,192000,44400,33600,1200,8836,9600,210436,210436,34800
2,210436,44400,34608,1200,9645,8592,228674,228674,70608
3,228674,44400,35646,1200,10445,7554,246673,246673,107454
4,246673,44400,36716,1200,11233,6484,264390,264390,145370
5,264390,44400,37817,1200,12008,5383,281780,281780,184387
6,281780,44400,38952,1200,12767,4248,298796,298796,224539
7,298796,44400,40120,1200,13509,3080,315385,315385,265859
8,315385,44400,41324,1200,14231,1876,331491,331491,308382
9,331491,44400,42563,1200,14930,637,347058,347058,352146
10,347058,45040,43840,1200,15618,0,362676,362676,397186
11,362676,46356,45156,1200,16320,0,378996,378996,443542
12,378996,47710,46510,1200,17055,0,396051,396051,491252
13,396051,49106,47906,1200,17822,0,413873,413873,540358
14,413873,50543,49343,1200,18624,0,432498,432498,590900
15,432498,52023,50823,1200,19462,0,451960,451960,642924
16,451960,53548,52348,1200,20338,0,472298,472298,696471
17,472298,55118,53918,1200,21253,0,493552,493552,751589
18,493552,56736,55536,1200,22210,0,515761,515761,808325
19,515761,58402,57202,1200,23209,0,538971,538971,866727
20,538971,60118,58918,1200,24254,0,563224,563224,926845
21,563224,61885,60685,1200,25345,0,588569,588569,988730
22,588569,63706,62506,1200,26486,0,615055,615055,1052436
23,615055,65581,64381,1200,27677,0,642733,642733,1118017
24,642733,67513,66313,1200,28923,0,671655,671655,1185529
25,671655,69502,68302,1200,30224,0,701880,701880,1255031
26,701880,71551,70351,1200,31585,0,733465,733465,1326582
27,733465,73661,72461,1200,33006,0,766470,766470,1400244
28,766470,75835,74635,1200,34491,0,800962,800962,1476079
29,800962,78074,76874,1200,36043,0,837005,837005,1554153
30,837005,80381,79181,1200,37665,0,874670,874670,1634534
