Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,800000,640000,160000,160000,32000
1,0,52045,7859,38186,6000,0,0,0,6.00,840000,632141,207859,207859,76186
2,0,52045,8344,37701,6000,0,0,0,6.00,882000,623797,258203,258203,119888
3,0,52045,8859,37187,6000,0,0,0,6.00,926100,614938,311162,311162,163074
4,0,52045,9405,36640,6000,0,0,0,6.00,972405,605533,366872,366872,205715
5,0,52045,9985,36060,6000,0,0,0,6.00,1021025,595548,425477,425477,247775
6,0,64767,10601,35444,6000,260,12722,12982,6.00,1072077,584947,487130,500111,289220
7,12982,64767,11255,34791,6000,844,12722,26548,6.00,1125680,573692,551988,578536,330010
8,26548,64767,11949,34096,6000,1455,12722,40724,6.00,1181964,561743,620221,660946,370107
9,40724,64767,12686,33359,6000,2093,12722,55539,6.00,1241063,549057,692005,747544,409466
10,55539,64767,13468,32577,6000,2760,12722,71020,6.00,1303116,535589,767527,838547,448043
11,71020,64767,14299,31746,6000,3456,12722,87197,6.00,1368271,521290,846982,934179,485790
12,87197,64767,15181,30864,6000,4184,12722,104103,6.00,1436685,506108,930577,1034680,522654
13,104103,64767,16117,29928,6000,4945,12722,121770,6.00,1508519,489991,1018528,1140298,558582
14,121770,64767,17112,28934,6000,5740,12722,140231,6.00,1583945,472880,1111066,1251297,593516
15,140231,64767,18167,27879,6000,6571,12722,159523,6.00,1663143,454713,1208430,1367953,627395
16,159523,64767,19287,26758,6000,7439,12722,179684,6.00,1746300,435425,1310874,1490558,660153
17,179684,64767,20477,25568,6000,8346,12722,200751,6.00,1833615,414948,1418666,1619418,691721
18,200751,64767,21740,24306,6000,9294,12722,222767,6.00,1925295,393208,1532087,1754854,722027
19,222767,64767,23081,22965,6000,10285,12722,245773,6.00,2021560,370127,1651433,1897206,750992
20,245773,64767,24504,21541,6000,11320,12722,269815,6.00,2122638,345623,1777015,2046830,778533
21,269815,64767,26016,20030,6000,12402,12722,294938,6.00,2228770,319607,1909163,2204101,804562
22,294938,64767,27620,18425,6000,13533,12722,321192,6.00,2340209,291987,2048222,2369414,828987
23,321192,65581,29324,16722,6000,14731,13536,349458,6.00,2457219,262663,2194556,2544015,851709
24,349458,67513,31133,14913,6000,16042,15467,380968,6.00,2580080,231530,2348550,2729517,872622
25,380968,69502,33053,12993,6000,17501,17456,415925,6.00,2709084,198477,2510607,2926531,891614
26,415925,71551,35091,10954,6000,19116,19505,454546,6.00,2844538,163386,2681152,3135698,908568
27,454546,73661,37256,8790,6000,20897,21616,497059,6.00,2986765,126130,2860635,3357694,923358
28,497059,75835,39554,6492,6000,22854,23790,543703,6.00,3136103,86577,3049527,3593230,935850
29,543703,78074,41993,4052,6000,24999,26029,594731,6.00,3292908,44583,3248325,3843056,945902
30,594731,80381,44583,1462,6000,27343,28335,650409,6.00,3457554,0,3457554,4107963,953364
