Year,Phase,Beg_Cash,Ann_Budget,Total_Exp,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,Purchase_Outlay,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,rent,,,,,,,,,,192000,,,,,192000,
1,rent,192000,52045,34800,,,34800,8993,17245,0,218238,,,,,218238,34800
2,rent,218238,52045,35808,,,35808,10153,16237,0,244629,,,,,244629,70608
3,rent,244629,52045,36846,,,36846,11319,15199,0,271147,,,,,271147,107454
4,rent,271147,52045,37916,,,37916,12491,14130,0,297768,,,,,297768,145370
5,buy-transition,297768,52045,39017,0,0,39017,13666,13028,236205,88257,,1021025,816820,204205,292462,216387
6,own,88257,64767,64767,10031,48736,6000,3972,0,0,92229,6.00,1072077,806790,265287,357516,271123
7,own,92229,64767,64767,10649,48118,6000,4150,0,0,96379,6.00,1125680,796140,329540,425919,325241
8,own,96379,64767,64767,11306,47461,6000,4337,0,0,100716,6.00,1181964,784834,397130,497847,378702
9,own,100716,64767,64767,12003,46764,6000,4532,0,0,105249,6.00,1241063,772831,468232,573481,431465
10,own,105249,64767,64767,12744,46023,6000,4736,0,0,109985,6.00,1303116,760087,543029,653014,483489
11,own,109985,64767,64767,13530,45237,6000,4949,0,0,114934,6.00,1368271,746557,621715,736649,534726
12,own,114934,64767,64767,14364,44403,6000,5172,0,0,120106,6.00,1436685,732193,704492,824599,585128
13,own,120106,64767,64767,15250,43517,6000,5405,0,0,125511,6.00,1508519,716942,791577,917088,634645
14,own,125511,64767,64767,16191,42576,6000,5648,0,0,131159,6.00,1583945,700751,883194,1014353,683221
15,own,131159,64767,64767,17190,41577,6000,5902,0,0,137061,6.00,1663143,683562,979581,1116642,730799
16,own,137061,64767,64767,18250,40517,6000,6168,0,0,143229,6.00,1746300,665312,1080987,1224216,777316
17,own,143229,64767,64767,19375,39392,6000,6445,0,0,149674,6.00,1833615,645937,1187678,1337352,822708
18,own,149674,64767,64767,20570,38197,6000,6735,0,0,156409,6.00,1925295,625366,1299929,1456338,866904
19,own,156409,64767,64767,21839,36928,6000,7038,0,0,163448,6.00,2021560,603527,1418033,1581481,909832
20,own,163448,64767,64767,23186,35581,6000,7355,0,0,170803,6.00,2122638,580341,1542297,1713100,951413
21,own,170803,64767,64767,24616,34151,6000,7686,0,0,178489,6.00,2228770,555725,1673045,1851534,991564
22,own,178489,64767,64767,26134,32633,6000,8032,0,0,186521,6.00,2340209,529591,1810618,1997139,1030196
23,own,186521,65581,64767,27746,31021,6000,8410,814,0,195745,6.00,2457219,501844,1955375,2151120,1067217
24,own,195745,67513,64767,29458,29309,6000,8865,2746,0,207355,6.00,2580080,472387,2107693,2315049,1102526
25,own,207355,69502,64767,31275,27492,6000,9428,4735,0,221518,6.00,2709084,441112,2267972,2489490,1136019
26,own,221518,71551,64767,33203,25564,6000,10107,6784,0,238409,6.00,2844538,407909,2436629,2675039,1167582
27,own,238409,73661,64767,35251,23516,6000,10910,8894,0,258214,6.00,2986765,372657,2614108,2872322,1197098
28,own,258214,75835,64767,37426,21341,6000,11846,11068,0,281129,6.00,3136103,335232,2800872,3082000,1224439
29,own,281129,78074,64767,39734,19033,6000,12923,13307,0,307359,6.00,3292908,295498,2997411,3304770,1249472
30,own,307359,80381,64767,42185,16582,6000,14151,15614,0,337123,6.00,3457554,253313,3204241,3541364,1272055
