Year,Beg_Cash,Ann_Budget,Principal_Exp,Interest_Exp,Ongoing_Exp,Interest_Inc,Surplus,End_Cash,Rate_Pct,Prop_Value,Principal_Left,House_Equity,Net_Equity,Accum_Cost
0,,,,,,,,0,,500000,0,500000,500000,20000
1,0,25000,0,0,5000,409,20000,20409,,520000,0,520000,540409,25000
2,20409,25720,0,0,5100,1340,20620,42370,,540800,0,540800,583170,30100
3,42370,26462,0,0,5202,2342,21260,65971,,562432,0,562432,628403,35302
4,65971,27225,0,0,5306,3417,21919,91307,,584929,0,584929,676237,40608
5,91307,28012,0,0,5412,4571,22600,118479,,608326,0,608326,726805,46020
6,118479,28823,0,0,5520,5808,23302,147589,,632660,0,632660,780249,51541
7,147589,29657,0,0,5631,7133,24026,178749,,657966,0,657966,836715,57171
8,178749,30517,0,0,5743,8551,24774,212073,,684285,0,684285,896357,62915
9,212073,31402,0,0,5858,10066,25544,247683,,711656,0,711656,959339,68773
10,247683,32315,0,0,5975,11685,26339,285707,,740122,0,740122,1025829,74749
11,285707,33254,0,0,6095,13413,27159,326278,,769727,0,769727,1096005,80844
12,326278,34222,0,0,6217,15256,28005,369539,,800516,0,800516,1170055,87060
13,369539,35218,0,0,6341,17220,28877,415636,,832537,0,832537,1248172,93402
14,415636,36245,0,0,6468,19313,29777,464725,,865838,0,865838,1330564,99870
15,464725,37302,0,0,6597,21541,30705,516971,,900472,0,900472,1417443,106467
