Parameter,Min,Max
ALBANY_WF1,0,21.6
ALCOA_WGP,0,16.0000
ALINTA_PNJ_U1,0,143.0000
ALINTA_PNJ_U2,0,143.0000
ALINTA_WGP_ESR1,0,48.5360
ALINTA_WGP_GT,0,196.0000
ALINTA_WGP_U2,0,196.0000
ALINTA_WWF,0,89.1000
ARROWSMITH_EAST_G1,0,85.0000
BADGINGARRA_WF1,0,130.0000
BW1_BLUEWATERS_G2,0,217.0000
BW2_BLUEWATERS_G1,0,217.0000
COCKBURN_CCG1,0,249.7000
COLLIE_BESS2,0,300.0000
COLLIE_ESR1,0,192.4250
COLLIE_ESR4,0,176.0100
COLLIE_ESR5,0,175.3470
COLLIE_G1,0,318.3000
EDWFMAN_WF1,0,80.0000
ERRRF_WTE_G1,0,34.8800
FLATROCKS_WF1,0,75.6000
GRASMERE_WF1,0,13.8000
GREENOUGH_RIVER_PV1,0,40.0000
INVESTEC_COLLGAR_WF1,0,218.5000
KEMERTON_GT11,0,154.7000
KEMERTON_GT12,0,154.7000
KING_ROCKS_WF1,0,148.8000
KWINANA_ESR1,0,100.0000
KWINANA_ESR2,0,225.0000
MERREDIN_ESR1,0,94.5000
MERSOLAR_PV1,0,100.0000
MUJA_G6,0,193.6000
MUJA_G7,0,212.6000
MUJA_G8,0,212.6000
MUNGARRA_GT1,0,39.5000
MUNGARRA_GT3,0,38.0000
MWF_MUMBIDA_WF1,0,55.0000
NAMKKN_MERR_SG1,0,82.0000
NEWGEN_KWINANA_CCG1,0,335.0000
NEWGEN_NEERABUP_GT1,0,342.0000
PERTHENERGY_KWINANA_GT1,0,109.0000
PHOENIX_KWINANA_WTE_G1,0,46.0800
PINJAR_GT1,0,38.5000
PINJAR_GT10,0,118.1500
PINJAR_GT11,0,130.0000
PINJAR_GT2,0,38.5000
PINJAR_GT3,0,39.3000
PINJAR_GT4,0,39.3000
PINJAR_GT5,0,39.3000
PINJAR_GT7,0,39.3000
PINJAR_GT9,0,118.1500
PRK_AG,0,68.0000
SBSOLAR1_CUNDERDIN_PV1,0,115.0000
STHRNCRS_EG,0,23.0000
TESLA_GERALDTON_G1,0,9.9000
TESLA_KEMERTON_G1,0,9.9000
TESLA_NORTHAM_G1,0,9.9000
TESLA_PICTON_G1,0,9.9000
TIWEST_COG1,0,42.1000
WARRADARGE_WF1,0,180.0000
WEST_KALGOORLIE_GT2,0,41.2000
WEST_KALGOORLIE_GT3,0,23.3000
YANDIN_WF1,0,211.6800
